id,first_taste,second_taste,third_taste,fourth_taste
860,blackberries,caramel,roasty,
861,cocoa and fresh grapes,,,
862,mildly burnt caramel,,,
863,orange,mellow but flavorful,,
864,fruity,floral,caramel,
865,slow develop,caramel,roasty,
866,light color,leathery flavor,,
867,long lasting,fruit,spicy,
868,rich cocoa,mild,fatty,
869,rich cocoa,nuts,,
870,complex,nuts,spice,floral
871,roasty,mild fatty,,
872,creamy,simple,strong choco,
873,creamy,fragrant,,
874,banana,yogurt,cocoa,
875,spice,fatty,mild cocoa,
876,strong fruit,ham,deep cocoa,
877,vegetal,herbs,raw,
878,creamy,black pepper,nut,
879,honey,deep cocoa,,
880,banana,dairy,cocoa,
881,strong cocoa,orange citrus,,
882,cocoa,savory,,
883,black pepper,high astringency,,
884,unique flavor,floral-spice mix,,
885,delicate,balanced,,
886,woody,grassy,spicy,
887,high acidity,grassy,,
888,sweet,metallic,,
889,floral,sticky,,
890,tobacco,woody,wild berry,
891,roasty,fatty,woody,
892,fatty,leathery,earthy,
893,oily,gritty,savory,
894,intense olive,citrus,vegetal,
895,spicy,earthy,,
896,oily,fatty,bold olive,
897,baked bread,,,
898,oily,burnt black pepper,,
899,mild fatty,nutty,roasty,
900,oily,spicy,sour,
901,oily,sweet,dairy,bland
902,cocoa,spicy,sweet,
903,fatty,sweet,vanilla,
904,oily,tart,chlorine,
905,dried fruit,intense,,
906,sandy,sweet,molasses,floral
907,delicate,hebs,choco,
908,acidic,undefined,brownie,off
909,oily,dried fruit,leather,
910,oily,tropical,,
911,balanced,fruit,nut,roasty
912,black current,bitter,astringent,
913,dried fruit,cocoa,,
914,grainy texture,sour,hammy,
915,accessible,sweet,sandy,
916,cheesy off flavor,,,
917,gritty,ambiguous,,
